Date,Location,Deaths,Injuries,Description
"February 29, 2000","Flint, Michigan",1,0,"Shooting of Kayla Rolland: At Buell Elementary School, a 6-year-old boy fatally shot 6-year-old classmate Kayla Rolland. To date, the boy is the youngest documented fatal school shooter.[1] See August 22, 2013, below."
"May 26, 2000","Lake Worth, Florida",1,0,"13-year-old honor student, Nathaniel Brazill was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, who was popular at the school.[1][2]"
"June 28, 2000","Seattle, Washington",2[n 1],0,"58-year-old Director of the Division of Pathology of the University of Washington Medical Center, Rodger C. Haggitt, was shot dead by 42-year-old Taiwanese immigrant, and then U.S. citizen, Jian Chen, who had just completed his second year of forensic pathology residency training, and had been notified of his contract non-renewal (which Chen wrote would dishonor his family). Chen went on to commit suicide.[3] In 2001 the Rodger C. Haggitt Gastrointestinal Pathology Society was named in memory of Dr. Haggitt."
"August 28, 2000","Fayetteville, Arkansas",2[n 1],0,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Locke three times before committing suicide in the director's office, which had been isolated by campus police.[4]"
"September 26, 2000","New Orleans, Louisiana",0,2[n 1],"13 year-olds Darrel Johnson and Alfred Anderson were initially charged with attempted first-degree murder, in the shooting of 15 year-old William Pennington. Pennington, after being shot, gained control of the gun and shot Johnson in the back.[5] Charges were later reduced to Aggravated Battery.
To prevent violence, Carter G. Woodson Middle School had students pass through metal detectors at the time. A 13-year-old student, who recently had been expelled for fighting, slipped the weapon, a .38-caliber revolver, through a chain link fence.[6]"
"December 1, 2000","San Diego, California",0,1[n 1],"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.[7]"
"March 5, 2001","Santee, California",2,13,"Santana High School shooting: 15-year-old student, Charles Andrew Williams, killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, at Santana High School. In total, he wounded thirteen others. Williams was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.[8]"
"March 7, 2001","Williamsport, Pennsylvania",0,1,"14-year-old student, Elizabeth Catherine Bush, wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School.[9] Bush was released in 2004.[10]"
"March 22, 2001","El Cajon, California",0,6[n 1],"18-year-old former student, Jason Hoffman, opened fire at Granite Hills High School, injuring five people, before being shot and wounded by a police officer.[11] He was convicted of assault and sentenced to prison, where he committed suicide in 2002.[12]"
"March 30, 2001","Gary, Indiana",1,0,"17-year-old Donald Ray Burt Jr., fatally shot Neal Boyd IV, with one bullet to the head in a parking lot outside Lew Wallace High School.[13] Burt was sentenced to 57 years in prison.[14]"
"May 16, 2001","Parkland, Washington",2[n 1],0,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.[15]
"January 15, 2002","New York City, New York",0,2,"17-year-old Vincent Rodriguez wounded two students at Martin Luther King, Jr. High School in Manhattan, with a semi-automatic pistol. He retaliated against the individuals who had harassed his girlfriend. In February 2003, Rodriguez was sentenced to ten years in prison on charges of assault and attempted assault.[16]"
"January 16, 2002","Grundy, Virginia",3,3,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old Peter Odighizuwa, killed three at the Appalachian School of Law. 42-year-old dean, Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded.[17] In 2005 Odighizuwa received three life sentences and an additional 28 years without the possibility of parole.[18]"
"February 20, 2002","Milwaukee, Wisconsin",1,0,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by then 22 years old Phillip D. Jackson Jr., when violence erupted between rival supporters in the parking lot, after a basketball game against Vincent High School.[19]"
"October 7, 2002","Bowie, Maryland",0,1,"In the Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School in Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack.[20][21] The shooters, Lee Boyd Malvo and John Allen Muhammad, were later convicted of numerous unrelated murders committed during their killing spree. Muhammad was executed in 2009, while Malvo was sentenced to life in prison."
"October 28, 2002","Tucson, Arizona",4[n 1],0,"Failing nursing college student and Gulf War veteran, 40-year-old Robert Stewart Flores Jr., killed three assistant professors of nursing at the University of Arizona; this included 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe. Flores finished by turning the gun on himself.[22]"
"October 29, 2002","Jersey City, New Jersey",0,1,A 15-year-old student was shot in the abdomen and wounded inside the basement of Lincoln High School during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.[23]
